SeriousDlqin2yrs,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,NumberOfTimes90DaysLate,NumberOfTime60-89DaysPastDueNotWorse,MonthlyIncome,NumberOfDependents,DebtRatio_Flag,TotalPastDue,IncomePerDependent,HighDebtRatio,DebtRatio_log,HasAnyLatePayment,AgeGroup_25-34,AgeGroup_35-44,AgeGroup_45-54,AgeGroup_55-64,AgeGroup_65+
0,80,0,0.0,0,0,1600.0,0,0,0,1600.0,0,0.0,0,False,False,False,False,True
0,73,0,0.111416,0,0,16529.599999999977,0,0,0,16529.599999999977,0,0.1056348780170319,0,False,False,False,False,True
1,59,5,3252.0,1,0,5166.0,0,1,6,5166.0,1,8.087332926473351,1,False,False,False,True,False
0,41,1,1421.0,0,0,5166.0,0,1,1,5166.0,1,7.259819610363186,1,False,True,False,False,False
0,30,0,1513.0,0,0,5166.0,0,1,0,5166.0,1,7.322510433997394,0,True,False,False,False,False
1,48,0,0.402904,0,0,8609.0,4,0,0,1721.8,1,0.3385443739752487,0,False,False,True,False,False
0,55,0,805.0,0,0,5166.0,0,1,0,5166.0,1,6.692083742506628,0,False,False,True,False,False
0,29,0,0.224753,0,0,9000.0,0,0,0,9000.0,0,0.20273919101303278,0,True,False,False,False,False
0,69,1,3496.0,0,0,5166.0,0,1,1,5166.0,1,8.159660737063376,1,False,False,False,False,True
1,39,1,0.388264,0,0,12900.0,2,0,1,4300.0,1,0.3280540457276638,1,False,True,False,False,False
1,47,3,2078.0,0,1,5166.0,0,1,4,5166.0,1,7.639642287858013,1,False,False,True,False,False
0,50,0,0.420138,0,0,4200.0,3,0,0,1050.0,1,0.35075404998978954,0,False,False,True,False,False
0,25,0,0.020672,0,0,1547.0,1,0,0,773.5,0,0.02046123389664339,0,False,False,False,False,False
1,42,0,2.644356,0,0,1000.0,1,0,0,500.0,1,1.293179669466716,0,False,True,False,False,False
0,37,0,0.335494,0,0,14500.0,0,0,0,14500.0,0,0.2893012608584228,0,False,True,False,False,False
0,71,0,1419.0,0,0,5166.0,0,1,0,5166.0,1,7.258412150595307,0,False,False,False,False,True
1,62,0,0.434735,0,0,2734.0,0,0,0,2734.0,1,0.36098016316862,0,False,False,False,True,False
0,59,0,2.094595,0,0,2515.0,0,0,0,2515.0,1,1.1296570413544282,0,False,False,False,True,False
1,58,1,0.145142,1,0,2500.0,0,0,2,2500.0,0,0.13552864678392154,1,False,False,False,True,False
0,61,0,0.0,0,0,7085.0,1,0,0,3542.5,0,0.0,0,False,False,False,True,False
1,43,0,1.416861,0,0,3000.0,0,0,0,3000.0,1,0.8824695907585614,0,False,True,False,False,False
0,64,0,0.368246,0,1,4811.0,0,0,1,4811.0,0,0.31352962759526387,1,False,False,False,True,False
1,47,1,0.504299,3,0,5000.0,2,0,4,1666.6666666666667,1,0.4083270089604017,1,False,False,True,False,False
1,58,1,0.19515,1,0,7916.0,1,0,2,3958.0,0,0.17827170051867214,1,False,False,False,True,False
0,78,0,0.006672,0,0,2397.0,0,0,0,2397.0,0,0.006649840717879189,0,False,False,False,False,True
1,51,2,0.0045,0,0,16529.599999999977,0,0,2,16529.599999999977,0,0.004489905272852052,1,False,False,True,False,False
1,66,0,0.417904,0,1,4780.0,0,0,1,4780.0,1,0.3491797248308144,1,False,False,False,False,True
0,31,0,0.136907,0,0,2928.0,0,0,0,2928.0,0,0.12831141722782072,0,True,False,False,False,False
0,78,0,0.008555,0,0,2220.0,0,0,0,2220.0,0,0.008518613365329627,0,False,False,False,False,True
0,23,98,0.0,98,98,5166.0,0,0,294,5166.0,0,0.0,1,False,False,False,False,False
0,56,0,126.0,1,0,5166.0,0,1,1,5166.0,1,4.844187086458591,1,False,False,False,True,False
0,83,0,0.146319,0,0,4250.0,0,0,0,4250.0,0,0.13655593906907082,0,False,False,False,False,True
1,41,2,0.163562,0,0,9500.0,2,0,2,3166.6666666666665,0,0.15148598983510955,1,False,True,False,False,False
0,52,0,0.001852,0,0,8100.0,0,0,0,8100.0,0,0.0018502871624573596,0,False,False,True,False,False
0,57,0,0.823987,0,0,1800.0,0,0,0,1800.0,1,0.6010247644337586,0,False,False,False,True,False
0,25,0,0.182396,0,0,3146.0,2,0,0,1048.6666666666667,0,0.16754288825614574,0,False,False,False,False,False
1,48,8,3082.0,1,2,5166.0,0,1,11,5166.0,1,8.03365842788615,1,False,False,True,False,False
1,53,1,0.381117,0,0,13016.0,4,0,1,2603.2,1,0.32289259205502524,1,False,False,True,False,False
1,67,3,1.41014,4,1,4200.0,0,0,8,4200.0,1,0.8796848371016373,1,False,False,False,False,True
0,39,0,0.468056,0,0,10846.0,1,0,0,5423.0,1,0.38393907660370485,0,False,True,False,False,False
1,56,0,2132.0,0,0,5166.0,0,1,0,5166.0,1,7.665284718471351,0,False,False,False,True,False
0,45,0,0.432022,0,0,5920.0,4,0,0,1184.0,1,0.35908743154893386,0,False,True,False,False,False
0,39,0,0.545593,0,0,4583.0,0,0,0,4583.0,1,0.4354076554803534,0,False,True,False,False,False
0,68,0,0.255769,0,0,10833.0,0,0,0,10833.0,0,0.227748133933713,0,False,False,False,False,True
0,59,0,0.350526,0,0,11593.0,1,0,0,5796.5,0,0.30049414619405457,0,False,False,False,True,False
0,54,0,953.0,0,0,5166.0,0,1,0,5166.0,1,6.860663671448287,0,False,False,True,False,False
0,63,1,0.134183,0,0,6900.0,0,0,1,6900.0,0,0.12591256794728461,1,False,False,False,True,False
0,39,0,1.664668,0,0,2000.0,0,0,0,2000.0,1,0.9800794719961784,0,False,True,False,False,False
0,59,1,0.835846,1,0,596.0,0,0,2,596.0,1,0.6075054106847002,1,False,False,False,True,False
1,54,2,1762.0,0,0,5166.0,1,1,2,2583.0,1,7.47477218239787,1,False,False,True,False,False
0,37,0,0.31564,0,0,12000.0,2,0,0,4000.0,0,0.27432323924879154,0,False,True,False,False,False
1,28,0,68.0,0,0,5166.0,0,1,0,5166.0,1,4.23410650459726,0,True,False,False,False,False
0,40,0,0.09087,0,0,4643.0,2,0,0,1547.6666666666667,0,0.08697554301426721,0,False,True,False,False,False
1,54,1,0.268913,0,1,3026.0,1,0,2,1513.0,0,0.23816062846242728,1,False,False,True,False,False
1,41,0,0.19027,2,6,3000.0,1,0,8,1500.0,0,0.17418017214392562,1,False,True,False,False,False
0,60,0,40.0,0,0,5166.0,0,1,0,5166.0,1,3.713572066704308,0,False,False,False,True,False
0,31,0,0.134179,0,0,2600.0,0,0,0,2600.0,0,0.12590904117333937,0,True,False,False,False,False
0,51,0,1.11785,0,0,1450.0,1,0,0,725.0,1,0.7504014231415067,0,False,False,True,False,False
0,60,0,0.426719,0,0,4550.0,0,0,0,4550.0,1,0.3553774024958094,0,False,False,False,True,False
0,51,0,0.31613,0,0,16529.599999999977,0,0,0,16529.599999999977,0,0.2746956122188171,0,False,False,True,False,False
0,69,0,1248.0,0,0,0.0,1,1,0,0.0,1,7.130098510125578,0,False,False,False,False,True
0,58,0,54.0,0,0,5166.0,0,1,0,5166.0,1,4.007333185232471,0,False,False,False,True,False
0,66,0,0.264484,0,0,3175.0,0,0,0,3175.0,0,0.23466413382521245,0,False,False,False,False,True
1,65,0,1.403465,1,0,2423.0,0,0,1,2423.0,1,0.876911446148908,1,False,False,False,True,False
0,86,0,18.0,0,0,5166.0,0,1,0,5166.0,1,2.9444389791664403,0,False,False,False,False,True
1,40,1,0.405833,1,0,4868.0,2,0,2,1622.6666666666667,1,0.34063000966255746,1,False,True,False,False,False
1,51,0,0.287639,1,1,3785.0,0,0,2,3785.0,0,0.2528103088934155,1,False,False,True,False,False
0,33,0,0.067374,0,0,6500.0,2,0,0,2166.6666666666665,0,0.06520142636733975,0,True,False,False,False,False
0,45,1,0.611056,0,0,7000.0,1,0,1,3500.0,1,0.47688986460868843,1,False,True,False,False,False
0,45,1,0.635668,0,0,6666.0,2,0,1,2222.0,1,0.4920512836013379,1,False,True,False,False,False
1,32,1,0.507437,0,0,4033.0,0,0,1,4033.0,1,0.4104108577011573,1,True,False,False,False,False
0,58,0,0.95342,0,0,4400.0,1,0,0,2200.0,1,0.6695816825372369,0,False,False,False,True,False
0,61,0,0.646335,0,0,1950.0,0,0,0,1950.0,1,0.4985516052405439,0,False,False,False,True,False
0,47,0,0.498124,0,0,5329.0,3,0,0,1332.25,1,0.404213658705246,0,False,False,True,False,False
0,82,0,175.0,0,0,5166.0,0,1,0,5166.0,1,5.170483995038151,0,False,False,False,False,True
1,74,1,1.157397,0,0,2750.0,0,0,1,2750.0,1,0.7689024023955104,1,False,False,False,False,True
0,62,0,0.400313,0,0,3199.0,0,0,0,3199.0,1,0.3366957830614169,0,False,False,False,True,False
0,51,0,2.210114,0,0,1660.0,0,0,0,1660.0,1,1.1663064505300083,0,False,False,True,False,False
0,37,0,0.575943,0,0,3923.0,1,0,0,1961.5,1,0.45485382326893675,0,False,True,False,False,False
0,69,0,1.091272,0,0,1500.0,0,0,0,1500.0,1,0.7377724932874707,0,False,False,False,False,True
1,35,0,0.304462,0,0,2666.0,2,0,0,888.6666666666666,0,0.26579069523552035,0,True,False,False,False,False
0,34,0,0.008734,1,0,2747.0,4,0,1,549.4,0,0.008696079261856886,1,True,False,False,False,False
1,44,4,0.388193,1,1,13500.0,2,0,6,4500.0,1,0.3280029014095523,1,False,True,False,False,False
0,36,1,0.438104,0,0,10250.0,2,0,1,3416.6666666666665,1,0.3633255793540722,1,False,True,False,False,False
1,58,0,0.744167,0,0,5014.0,0,0,0,5014.0,1,0.5562770777831244,0,False,False,False,True,False
1,44,0,2591.0,0,1,5166.0,0,1,1,5166.0,1,7.860185057472165,1,False,True,False,False,False
0,52,0,0.072386,0,0,5000.0,3,0,0,1250.0,0,0.06988607246416494,0,False,False,True,False,False
0,79,0,0.005852,0,0,3075.0,0,0,0,3075.0,0,0.005834943558513881,0,False,False,False,False,True
0,71,0,0.101469,0,0,5853.0,0,0,0,5853.0,0,0.0966447434234641,0,False,False,False,False,True
0,47,0,0.786434,0,0,6250.0,0,0,0,6250.0,1,0.5802214540541382,0,False,False,True,False,False
0,39,0,0.7515,0,0,3500.0,3,0,0,875.0,1,0.5604725636554044,0,False,True,False,False,False
0,40,3,0.524707,0,0,5200.0,1,0,3,2600.0,1,0.4218022604522806,1,False,True,False,False,False
1,60,2,521.0,0,0,5166.0,0,1,2,5166.0,1,6.257667587882639,1,False,False,False,True,False
0,45,0,0.170883,0,0,10000.0,1,0,0,5000.0,0,0.15775816502088036,0,False,True,False,False,False
0,70,0,0.054449,0,0,1505.0,0,0,0,1505.0,0,0.05301835561348153,0,False,False,False,False,True
1,54,0,0.527795,0,0,1600.0,1,0,0,800.0,1,0.42382551944009694,0,False,False,True,False,False
0,49,0,0.465804,0,0,5950.0,2,0,0,1983.3333333333333,1,0.3824038973911397,0,False,False,True,False,False
0,48,1,0.344596,0,0,4024.0,1,0,1,2012.0,0,0.29609359618596176,1,False,False,True,False,False
0,52,0,0.006642,0,0,16529.599999999977,0,0,0,16529.599999999977,0,0.006620039107199265,0,False,False,True,False,False
1,47,2,0.453641,1,4,7333.0,0,0,7,7333.0,1,0.3740714435358393,1,False,False,True,False,False
1,25,0,0.101093,0,0,1463.0,1,0,0,731.5,0,0.09630332283811625,0,False,False,False,False,False
0,38,1,0.435871,0,0,7632.0,2,0,1,2544.0,1,0.3617716337217378,1,False,True,False,False,False
1,53,0,2829.0,0,0,5166.0,0,1,0,5166.0,1,7.948031990637284,0,False,False,True,False,False
0,36,0,0.05322,0,0,9300.0,4,0,0,1860.0,0,0.051852138205251766,0,False,True,False,False,False
0,62,1,0.375348,1,2,6100.0,0,0,4,6100.0,1,0.31870679000552427,1,False,False,False,True,False
1,28,0,0.0,0,0,2925.0,0,0,0,2925.0,0,0.0,0,True,False,False,False,False
0,44,1,0.555111,0,1,4000.0,0,0,2,4000.0,1,0.44154692572023424,1,False,True,False,False,False
0,63,0,183.0,0,0,5166.0,0,1,0,5166.0,1,5.214935757608986,0,False,False,False,True,False
0,36,0,0.496638,1,4,3420.0,2,0,5,1140.0,1,0.4032212592277863,1,False,True,False,False,False
0,53,0,0.192629,0,0,14000.0,1,0,0,7000.0,0,0.1761601140303757,0,False,False,True,False,False
1,42,0,3496.0,0,0,5166.0,0,1,0,5166.0,1,8.159660737063376,0,False,True,False,False,False
0,49,1,0.383238,0,0,5750.0,0,0,1,5750.0,1,0.3244271275370533,1,False,False,True,False,False
0,63,2,0.191649,0,0,6250.0,1,0,2,3125.0,0,0.17533806219314213,1,False,False,False,True,False
0,66,0,0.088333,0,0,4833.0,0,0,0,4833.0,0,0.08464716778152416,0,False,False,False,False,True
0,60,0,2102.0,0,0,5166.0,0,1,0,5166.0,1,7.6511201757027,0,False,False,False,True,False
0,54,0,0.56241,0,1,7666.0,0,0,1,7666.0,1,0.4462295009694758,1,False,False,True,False,False
0,43,0,0.257282,0,0,6968.0,0,0,0,6968.0,0,0.2289522481222488,0,False,True,False,False,False
1,33,0,0.286417,1,0,5079.0,0,0,1,5079.0,0,0.2518608345293746,1,True,False,False,False,False
0,46,0,0.188362,0,0,3333.0,0,0,0,3333.0,0,0.1725758883293444,0,False,False,True,False,False
1,31,0,0.0,2,0,1600.0,0,0,2,1600.0,0,0.0,1,True,False,False,False,False
0,64,0,3496.0,0,0,5166.0,0,1,0,5166.0,1,8.159660737063376,0,False,False,False,True,False
0,84,0,0.266361,0,0,4583.0,0,0,0,4583.0,0,0.23614743315341655,0,False,False,False,False,True
1,43,4,0.553965,3,0,4400.0,2,0,7,1466.6666666666667,1,0.4408097291692974,1,False,True,False,False,False
0,68,1,0.543491,0,0,5000.0,0,0,1,5000.0,1,0.434046734039287,1,False,False,False,False,True
1,36,0,0.0,2,0,5166.0,0,0,2,5166.0,0,0.0,1,False,True,False,False,False
1,28,1,541.0,0,2,5166.0,0,1,3,5166.0,1,6.295266001439646,1,True,False,False,False,False
1,29,0,0.219772,0,1,2720.0,2,0,1,906.6666666666666,0,0.19866395603403994,1,True,False,False,False,False
0,64,0,1715.0,0,0,5166.0,0,1,0,5166.0,1,7.447751280047908,0,False,False,False,True,False
0,27,0,0.149328,0,0,3200.0,0,0,0,3200.0,0,0.1391774237513407,0,True,False,False,False,False
0,68,0,123.0,0,0,5166.0,0,1,0,5166.0,1,4.820281565605037,0,False,False,False,False,True
1,50,98,0.0,98,98,1350.0,0,0,294,1350.0,0,0.0,1,False,False,True,False,False
0,63,0,0.445764,0,0,1852.0,0,0,0,1852.0,1,0.3686379015645534,0,False,False,False,True,False
0,74,0,0.478595,0,0,7147.0,0,0,0,7147.0,1,0.3910923125579775,0,False,False,False,False,True
0,42,0,0.423238,0,0,7900.0,1,0,0,3950.0,1,0.3529345574065187,0,False,True,False,False,False
0,49,0,0.25068,0,0,6250.0,0,0,0,6250.0,0,0.22368740339985094,0,False,False,True,False,False
0,21,98,0.0,98,98,5166.0,0,0,294,5166.0,0,0.0,1,False,False,False,False,False
1,24,0,0.048207,0,0,1700.0,0,0,0,1700.0,0,0.04708108547849389,0,False,False,False,False,False
1,44,0,0.790549,0,0,4549.0,1,0,0,2274.5,1,0.5825222767392485,0,False,True,False,False,False
1,49,2,0.305137,1,1,7163.0,3,0,4,1790.75,0,0.2663080161074656,1,False,False,True,False,False
1,48,5,0.158286,0,1,6999.0,3,0,6,1749.75,0,0.14694132620436548,1,False,False,True,False,False
0,69,0,0.010181,0,0,11000.0,1,0,0,5500.0,0,0.010129522718138917,0,False,False,False,False,True
0,32,0,0.10189,0,0,10000.0,0,0,0,10000.0,0,0.09702688723672681,0,True,False,False,False,False
0,44,1,0.149424,0,0,7200.0,3,0,1,1800.0,0,0.13926094733288044,1,False,True,False,False,False
0,38,1,0.243279,0,0,4500.0,3,0,1,1125.0,0,0.21775224430084988,1,False,True,False,False,False
1,27,0,0.0,0,0,2400.0,1,0,0,1200.0,0,0.0,0,True,False,False,False,False
0,66,0,911.0,0,0,5166.0,0,1,0,5166.0,1,6.815639990074331,0,False,False,False,False,True
0,69,0,0.024198,0,0,1900.0,0,0,0,1900.0,0,0.023909867300801507,0,False,False,False,False,True
0,75,0,659.0,0,0,5166.0,0,1,0,5166.0,1,6.492239835020471,0,False,False,False,False,True
0,61,0,0.440384,0,0,4377.0,0,0,0,4377.0,1,0.3649097447053401,0,False,False,False,True,False
0,55,1,0.509176,0,0,2560.0,0,0,1,2560.0,1,0.4115638065166907,1,False,False,True,False,False
0,49,1,0.002399,0,0,2500.0,0,0,1,2500.0,0,0.0023961269934776757,1,False,False,True,False,False
0,25,0,0.123251,0,0,1500.0,0,0,0,1500.0,0,0.11622715924149517,0,False,False,False,False,False
1,34,4,2684.0,0,0,5166.0,0,1,4,5166.0,1,7.895436006942965,1,True,False,False,False,False
0,53,0,0.360451,0,0,4166.0,0,0,0,4166.0,0,0.3078162624220406,0,False,False,True,False,False
0,26,98,0.0,98,98,2000.0,0,0,294,2000.0,0,0.0,1,True,False,False,False,False
0,77,0,0.001824,0,0,10416.0,0,0,0,10416.0,0,0.0018223385320382476,0,False,False,False,False,True
1,66,0,3496.0,0,0,5166.0,0,1,0,5166.0,1,8.159660737063376,0,False,False,False,False,True
0,33,0,0.308527,0,0,7000.0,1,0,0,3500.0,0,0.26890207708927905,0,True,False,False,False,False
1,60,1,0.238381,0,0,12500.0,0,0,1,12500.0,0,0.21380488135836917,1,False,False,False,True,False
0,34,0,0.000225,0,0,8888.0,1,0,0,4444.0,0,0.00022497469129623439,0,True,False,False,False,False
1,49,1,0.473607,0,1,6800.0,2,0,2,2266.6666666666665,1,0.38771313677906694,1,False,False,True,False,False
0,41,0,306.5,0,0,1.0,4,1,0,0.2,1,5.728475087246572,0,False,True,False,False,False
0,55,0,0.563525,0,0,7374.0,1,0,0,3687.0,1,0.4469428875544734,0,False,False,True,False,False
0,61,0,0.35037,0,0,16529.599999999977,1,0,0,8264.799999999988,0,0.30037862897297424,0,False,False,False,True,False
0,82,0,0.376161,0,0,3120.0,0,0,0,3120.0,1,0.31929773848045906,0,False,False,False,False,True
1,26,1,0.354411,1,5,4000.0,0,0,7,4000.0,0,0.3033666734813034,1,True,False,False,False,False
1,57,1,2222.0,1,0,5166.0,0,1,2,5166.0,1,7.706612913964197,1,False,False,False,True,False
0,54,0,0.182733,0,0,7250.0,1,0,0,3625.0,0,0.16782786214321968,0,False,False,True,False,False
0,87,0,0.52861,0,0,1100.0,0,0,0,1100.0,1,0.42435882573904393,0,False,False,False,False,True
0,27,0,0.291491,0,0,4500.0,1,0,0,2250.0,0,0.2557973648883621,0,True,False,False,False,False
0,56,0,0.224964,0,0,6200.0,1,0,0,3100.0,0,0.20291145580975972,0,False,False,False,True,False
0,50,1,0.316222,0,0,8999.0,2,0,1,2999.6666666666665,0,0.2747655116851783,1,False,False,True,False,False
0,36,0,0.006663,0,0,1800.0,1,0,0,900.0,0,0.006640900327929121,0,False,True,False,False,False
0,31,1,0.106322,0,0,15800.0,1,0,1,7900.0,0,0.10104099996784477,1,True,False,False,False,False
0,54,0,0.839161,0,0,1000.0,0,0,0,1000.0,1,0.6093094893703249,0,False,False,True,False,False
1,66,0,0.001196,0,1,9200.0,0,0,1,9200.0,0,0.001195285361748145,1,False,False,False,False,True
0,62,1,0.550064,0,0,7000.0,0,0,1,7000.0,1,0.438296220401314,1,False,False,False,True,False
1,39,4,453.0,4,0,5166.0,0,1,8,5166.0,1,6.118097198041348,1,False,True,False,False,False
0,34,0,3.391073,0,0,1500.0,0,0,0,1500.0,1,1.479573616355986,0,True,False,False,False,False
1,55,1,2776.0,0,0,5166.0,0,1,1,5166.0,1,7.9291264873067995,1,False,False,True,False,False
0,32,0,0.95314,0,0,3200.0,1,0,0,1600.0,1,0.6694383339131382,0,True,False,False,False,False
0,48,2,514.0,0,0,5166.0,1,1,2,2583.0,1,6.244166900663736,1,False,False,True,False,False
0,57,0,0.14397,0,0,11036.0,0,0,0,11036.0,0,0.13450466883753315,0,False,False,False,True,False
0,34,0,0.127145,0,0,6000.0,3,0,0,1500.0,0,0.11968788694134683,0,True,False,False,False,False
0,60,1,0.469081,1,1,4915.0,1,0,3,2457.5,1,0.3846370352223259,1,False,False,False,True,False
0,23,0,2.0,0,0,5166.0,0,0,0,5166.0,1,1.0986122886681096,0,False,False,False,False,False
0,29,1,0.221656,0,0,3333.0,0,0,1,3333.0,0,0.20020731539091421,1,True,False,False,False,False
0,70,0,1470.0,0,0,1.0,1,1,0,0.5,1,7.293697720601438,0,False,False,False,False,True
0,50,1,0.357898,0,0,3785.0,1,0,1,1892.5,0,0.305937915859019,1,False,False,True,False,False
1,42,1,0.716269,7,0,1800.0,0,0,8,1800.0,1,0.5401527486869802,1,False,True,False,False,False
0,35,0,0.309972,0,0,11000.0,1,0,0,5500.0,0,0.2700057629388305,0,True,False,False,False,False
1,47,2,0.13566,4,0,5100.0,2,0,6,1700.0,0,0.1272139797263926,1,False,False,True,False,False
0,53,0,0.661533,0,0,2726.0,3,0,0,681.5,1,0.5077406701861432,0,False,False,True,False,False
1,50,6,0.772234,3,2,10962.0,4,0,11,2192.4,1,0.5722408976405763,1,False,False,True,False,False
0,29,0,0.171254,0,0,4250.0,0,0,0,4250.0,0,0.15807496971941246,0,True,False,False,False,False
1,54,0,0.012332,0,1,2756.0,0,0,1,2756.0,0,0.012256580305401865,1,False,False,True,False,False
1,35,1,1.533713,0,0,2105.0,2,0,1,701.6666666666666,1,0.9296858158160785,1,True,False,False,False,False
0,43,0,0.102297,0,0,4134.0,4,0,0,826.8,0,0.09739618440128278,0,False,True,False,False,False
0,66,0,2180.0,0,0,5166.0,0,1,0,5166.0,1,7.687538766201629,0,False,False,False,False,True
1,71,0,0.785251,0,0,7701.0,1,0,0,3850.5,1,0.5795590215925633,0,False,False,False,False,True
0,58,0,0.485874,0,0,8600.0,0,0,0,8600.0,1,0.39600315131430275,0,False,False,False,True,False
0,41,0,2006.0,0,0,5166.0,0,1,0,5166.0,1,7.604396348796338,0,False,True,False,False,False
0,54,0,0.044866,0,0,16529.599999999977,0,0,0,16529.599999999977,0,0.04388864752957617,0,False,False,True,False,False
1,33,1,0.242217,1,0,3500.0,0,0,2,3500.0,0,0.21689768644629787,1,True,False,False,False,False
0,42,0,0.065848,0,0,7000.0,0,0,0,7000.0,0,0.06377072645865915,0,False,True,False,False,False
0,35,0,0.160199,0,0,3813.0,3,0,0,953.25,0,0.1485915421290969,0,True,False,False,False,False
0,63,0,0.063249,0,0,5343.0,0,0,0,5343.0,0,0.06132931463858422,0,False,False,False,True,False
1,60,0,0.275266,3,0,2255.0,0,0,3,2255.0,0,0.2431547843016896,1,False,False,False,True,False
0,51,0,0.363818,0,0,2000.0,0,0,0,2000.0,0,0.3102881194335072,0,False,False,True,False,False
1,36,2,0.277455,3,1,3960.0,2,0,6,1320.0,0,0.24486981742638217,1,False,True,False,False,False
0,55,0,0.32607,0,0,3900.0,0,0,0,3900.0,0,0.2822196807172175,0,False,False,True,False,False
1,27,0,0.153156,0,0,3120.0,0,0,0,3120.0,0,0.14250253135423566,0,True,False,False,False,False
0,71,0,0.213993,0,0,5116.0,0,0,0,5116.0,0,0.19391492655807974,0,False,False,False,False,True
1,43,2,0.634815,0,0,5870.0,4,0,2,1174.0,1,0.49152964810019506,1,False,True,False,False,False
0,63,0,0.290697,0,0,12500.0,0,0,0,12500.0,0,0.2551823825361674,0,False,False,False,True,False
1,45,4,1.929208,1,1,2019.0,0,0,6,2019.0,1,1.0747320793221733,1,False,True,False,False,False
0,40,0,510.0,0,0,5166.0,0,1,0,5166.0,1,6.236369590203704,0,False,True,False,False,False
1,49,1,0.594605,1,0,5300.0,3,0,2,1325.0,1,0.46662605666393336,1,False,False,True,False,False
0,38,0,0.274496,0,0,5500.0,0,0,0,5500.0,0,0.24255080634342738,0,False,True,False,False,False
0,41,0,0.024673,0,0,2066.0,0,0,0,2066.0,0,0.024373537301021157,0,False,True,False,False,False
1,57,0,0.971566,0,0,5415.0,0,0,0,5415.0,1,0.678828150823134,0,False,False,False,True,False
0,60,0,655.0,0,0,5166.0,0,1,0,5166.0,1,6.486160788944089,0,False,False,False,True,False
0,63,0,0.832056,0,0,3000.0,0,0,0,3000.0,1,0.6054388334703459,0,False,False,False,True,False
0,42,0,77.0,0,0,5166.0,0,1,0,5166.0,1,4.356708826689592,0,False,True,False,False,False
0,75,0,20.0,0,0,5166.0,0,1,0,5166.0,1,3.044522437723423,0,False,False,False,False,True
